"gpio","existing_waveshare_function","available_externally","direction","voltage_level","boot_strapping_restrictions","shared_peripherals","chosen_retrodrive_function","reason_for_selection","source","verification_status"
"GPIO0","LCD G3","no general-purpose external terminal","output","3.3 V logic","STRAPPING; preserve board reset levels","LCD G3","LCD G3","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO1","LCD R3","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD R3","LCD R3","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO2","LCD R4","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD R4","LCD R4","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO3","LCD VSYNC","no general-purpose external terminal","output","3.3 V logic","STRAPPING; preserve board reset levels","LCD VSYNC","LCD VSYNC","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO4","CTP IRQ","no general-purpose external terminal","input","3.3 V logic","not a strap","CTP IRQ","CTP IRQ","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO5","LCD DE","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD DE","LCD DE","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO6","RTC INT","no general-purpose external terminal","input","3.3 V logic","not a strap","RTC INT","RTC INT","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO7","LCD PCLK","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD PCLK","LCD PCLK","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO8","I2C SDA","yes; terminal via level shifter","bidirectional","3.3 V logic","not a strap","touch; RTC; CH422G; external I2C","shared daughterboard control candidate","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO9","I2C SCL","yes; terminal via level shifter","bidirectional","3.3 V logic","not a strap","touch; RTC; CH422G; external I2C","shared daughterboard control candidate","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO10","LCD B7","no general-purpose external terminal","output","3.3 V logic","not a strap","LCD B7","LCD B7","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO11","SD MOSI","no general-purpose external terminal","output","3.3 V logic","not a strap","SD MOSI","SD MOSI","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
"GPIO12","SD SCK","no general-purpose external terminal","output","3.3 V logic","not a strap","SD SCK","SD SCK","preserve stock peripheral; no reassignment","https://files.waveshare.com/wiki/ESP32-S3-Touch-LCD-5/ESP32-S3-Touch-LCD-5-Sch.pdf page 1 V1.2","source_confirmed_unit_unverified"
